名称,评价数量,地址,评分,人均消费,口味评分,环境评分,服务评分,菜系,区域,商圈,shop_uuid
永利饭店(新塘一路店) 手机扫码 优惠买单,3675,新塘村新塘一路26号,4.0,40,4.1,3.8,3.9
顺德了能馆(虎门店) 手机扫码 优惠买单,1157,虎门镇长堤路1号(东宝石材城旁),4.3,209,4.4,4.6,4.3
顺德了能馆(虎门店) 手机扫码 优惠买单,1157,虎门镇长堤路1号(东宝石材城旁),4.3,209,4.4,4.6,4.3,粤菜,虎门镇,威远,
